"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R800","2020-05-05 00:00:00","131.000","305.000","0.300","24.800","0.880","996.200","","0.000","-99.000","-99.000","-99.000","31.800","","24.800",""
"C0T9N0","2020-05-05 00:00:00","261.000","79.000","0.900","22.600","0.970","982.400","","0.000","-99.000","-99.000","-99.000","33.600","","20.400",""
"C0Z070","2020-05-05 00:00:00","247.000","0.000","0.000","22.800","0.990","983.300","","0.000","-99.000","-99.000","-99.000","33.500","","21.300",""
"C0Z280","2020-05-05 00:00:00","224.000","200.000","1.200","23.100","0.900","987.500","","0.000","-99.000","-99.000","-99.000","31.300","","21.200",""
"C0SA40","2020-05-05 00:00:00","200.000","0.000","0.000","22.700","0.940","989.400","","0.000","-99.000","-99.000","-99.000","32.600","","20.600",""
"C0V440","2020-05-05 00:00:00","27.000","170.000","0.700","27.400","0.820","1007.500","","0.000","-99.000","-99.000","-99.000","34.000","","26.400",""
"C0R490","2020-05-05 00:00:00","49.000","0.000","0.100","26.800","0.840","1004.900","","0.000","-99.000","-99.000","-99.000","33.400","","25.700",""
"C0B010","2020-05-05 00:00:00","38.000","96.000","0.800","24.400","0.990","1004.000","","0.000","-99.000","-99.000","-99.000","31.300","","23.700",""
"C0X230","2020-05-05 00:00:00","29.000","0.000","0.000","25.900","0.860","1009.000","","0.000","-99.000","-99.000","-99.000","31.200","","24.300",""
"C0S770","2020-05-05 00:00:00","375.000","288.000","0.500","21.300","1.000","969.400","","0.000","-99.000","-99.000","-99.000","28.100","","21.300",""
"C0H890","2020-05-05 00:00:00","440.000","210.000","0.300","24.600","0.840","961.500","","0.000","-99.000","-99.000","-99.000","33.000","","21.600",""
"C0K480","2020-05-05 00:00:00","56.000","182.000","0.400","26.300","0.990","1004.500","","0.000","-99.000","-99.000","-99.000","32.100","","25.000",""
"C0R540","2020-05-05 00:00:00","17.000","128.000","0.800","27.000","0.850","1008.800","","0.000","-99.000","-99.000","-99.000","31.000","","25.500",""
"C0Z160","2020-05-05 00:00:00","124.000","173.000","0.800","22.900","0.920","1000.400","","0.000","-99.000","-99.000","-99.000","31.800","","21.800",""
"C0AH50","2020-05-05 00:00:00","275.000","261.000","0.500","25.000","0.990","979.700","","0.000","-99.000","-99.000","-99.000","30.300","","23.600",""
